well,chem,0
05N23W33B02S,CHLORIDE,9.0
05N23W33B02S,NITRATE (AS N),31.0
05N23W33B02S,NITRATE (AS NO3),31.0
05N23W33B02S,SULFATE,9.0
05N23W33B02S,TOTAL DISSOLVED SOLIDS,9.0
05N23W33B03S,BORON,12.0
05N23W33B03S,CHLORIDE,21.0
05N23W33B03S,NITRATE (AS N),32.0
05N23W33B03S,NITRATE (AS NO3),32.0
05N23W33B03S,SULFATE,21.0
05N23W33B03S,TOTAL DISSOLVED SOLIDS,10.0
05N23W33B04S,BORON,6.0
05N23W33B04S,CHLORIDE,11.0
05N23W33B04S,NITRATE (AS N),24.0
05N23W33B04S,NITRATE (AS NO3),24.0
05N23W33B04S,SULFATE,12.0
05N23W33B04S,TOTAL DISSOLVED SOLIDS,12.0
05N23W33C01S,BORON,1.0
05N23W33C01S,CHLORIDE,1.0
05N23W33C01S,NITRATE (AS N),1.0
05N23W33C01S,NITRATE (AS NO3),1.0
05N23W33C01S,SULFATE,1.0
05N23W33C01S,TOTAL DISSOLVED SOLIDS,1.0
05N23W33G01S,BORON,3.0
05N23W33G01S,CHLORIDE,3.0
05N23W33G01S,NITRATE (AS N),4.0
05N23W33G01S,NITRATE (AS NO3),4.0
05N23W33G01S,SULFATE,3.0
05N23W33G01S,TOTAL DISSOLVED SOLIDS,11.0
Ventura_Subsurface_Intake,BORON,169.0
Ventura_Subsurface_Intake,CHLORIDE,168.0
Ventura_Subsurface_Intake,NITRATE (AS N),167.0
Ventura_Subsurface_Intake,NITRATE (AS NO3),167.0
Ventura_Subsurface_Intake,SULFATE,167.0
Ventura_Subsurface_Intake,TOTAL DISSOLVED SOLIDS,167.0
