well,date,find,chem,unit,wqo,abovemcl,area
03N23W05P02S,10/6/2003 0:00,732,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,11/3/2003 0:00,0.42,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,11/3/2003 0:00,33,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,11/3/2003 0:00,0.60993,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,11/3/2003 0:00,2.7,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,11/3/2003 0:00,239,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,11/3/2003 0:00,688,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,12/1/2003 0:00,0.44,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,12/1/2003 0:00,35,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,12/1/2003 0:00,0.70029,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,12/1/2003 0:00,3.1,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,12/1/2003 0:00,237,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,12/1/2003 0:00,696,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,1/5/2004 0:00,0.39,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,1/5/2004 0:00,43,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,1/5/2004 0:00,0.9036,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,1/5/2004 0:00,4,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,1/5/2004 0:00,249,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,1/5/2004 0:00,700,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,2/2/2004 0:00,0.4,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,2/2/2004 0:00,55,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,2/2/2004 0:00,0.79065,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,2/2/2004 0:00,3.5,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,2/2/2004 0:00,288,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,2/2/2004 0:00,704,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,3/1/2004 0:00,0.35,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,3/1/2004 0:00,54,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,3/1/2004 0:00,1.10691,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,3/1/2004 0:00,4.9,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,3/1/2004 0:00,269,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,3/1/2004 0:00,640,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,4/5/2004 0:00,0.39,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,4/5/2004 0:00,49,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,4/5/2004 0:00,1.19727,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,4/5/2004 0:00,5.3,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,4/5/2004 0:00,226,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,4/5/2004 0:00,712,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,5/3/2004 0:00,0.37,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,5/3/2004 0:00,46,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,5/3/2004 0:00,1.19727,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,5/3/2004 0:00,5.3,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,5/3/2004 0:00,232,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,5/3/2004 0:00,780,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,6/7/2004 0:00,0.46,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,6/7/2004 0:00,43,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,6/7/2004 0:00,1.19727,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,6/7/2004 0:00,5.3,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,6/7/2004 0:00,222,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,6/7/2004 0:00,724,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,7/12/2004 0:00,0.46,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,7/12/2004 0:00,41,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,7/12/2004 0:00,0.99396,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,7/12/2004 0:00,4.4,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,7/12/2004 0:00,226,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,7/12/2004 0:00,672,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,8/9/2004 0:00,0.43,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,8/9/2004 0:00,42,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,8/9/2004 0:00,0.9036,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,8/9/2004 0:00,4,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,8/9/2004 0:00,230,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,8/9/2004 0:00,620,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,9/13/2004 0:00,0.44,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,9/13/2004 0:00,41,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,9/13/2004 0:00,0.99396,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,9/13/2004 0:00,4.4,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,9/13/2004 0:00,229,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,9/13/2004 0:00,564,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,10/4/2004 0:00,0.48,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,10/4/2004 0:00,43,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,10/4/2004 0:00,1.10691,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,10/4/2004 0:00,4.9,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,10/4/2004 0:00,230,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,10/4/2004 0:00,668,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,11/1/2004 0:00,0.45,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,11/1/2004 0:00,54,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,11/1/2004 0:00,1.19727,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,11/1/2004 0:00,5.3,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,11/1/2004 0:00,249,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,11/1/2004 0:00,696,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,12/6/2004 0:00,0.47,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,12/6/2004 0:00,53,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,12/6/2004 0:00,0.99396,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,12/6/2004 0:00,4.4,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,12/6/2004 0:00,231,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,12/6/2004 0:00,712,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,1/3/2005 0:00,0.42,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,1/3/2005 0:00,41,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,1/3/2005 0:00,1.40058,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,1/3/2005 0:00,6.2,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,1/3/2005 0:00,185,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,1/3/2005 0:00,580,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,3/9/2009 0:00,0.4,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,3/9/2009 0:00,47,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,3/9/2009 0:00,0.63252,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,3/9/2009 0:00,2.8,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,3/9/2009 0:00,243,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,3/9/2009 0:00,670,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,4/6/2009 0:00,0.4,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,4/6/2009 0:00,42,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,4/6/2009 0:00,0.99396,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,4/6/2009 0:00,4.4,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,4/6/2009 0:00,256,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,4/6/2009 0:00,734,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,5/4/2009 0:00,0.43,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,5/4/2009 0:00,39,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,5/4/2009 0:00,0.99396,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,5/4/2009 0:00,4.4,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,5/4/2009 0:00,249,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,5/4/2009 0:00,739,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,6/1/2009 0:00,0.38,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,6/1/2009 0:00,40,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,6/1/2009 0:00,0.70029,NITRATE (AS N),MG/L,10,0,Casitas Springs
