well,date,wl,rp,td,from,to
03N23W08B07S,12/4/2008,225.6000061,241.703,60,,
03N23W08B07S,2/2/2009,225.5,241.703,60,,
03N23W08B07S,3/26/2009,225.6999969,241.703,60,,
03N23W08B07S,5/28/2009,225.6999969,241.703,60,,
03N23W08B07S,7/30/2009,225.3999939,241.703,60,,
03N23W08B07S,10/2/2009,225.3000031,241.703,60,,
03N23W08B07S,12/1/2009,225.1000061,241.703,60,,
03N23W08B07S,2/3/2010,226.1,241.703,60,,
03N23W08B07S,4/2/2010,225.7,241.703,60,,
03N23W08B07S,5/28/2010,225.5,241.703,60,,
03N23W08B07S,8/3/2010,225.4,241.703,60,,
03N23W08B07S,9/30/2010,225.3,241.703,60,,
03N23W08B07S,12/8/2010,224.4,241.703,60,,
03N23W08B07S,3/4/2011,225.6999969,241.703,60,,
03N23W08B07S,6/20/2011,225.1900024,241.703,60,,
03N23W08B07S,9/13/2011,224.29,241.703,60,,
03N23W08B07S,12/13/2011,224.29,241.703,60,,
03N23W08B07S,3/13/2012,224.49,241.703,60,,
03N23W08B07S,6/7/2012,224.19,241.703,60,,
03N23W08B07S,9/17/2012,223.75,241.703,60,,
03N23W08B07S,12/4/2012,222.33,241.703,60,,
03N23W08B07S,3/5/2013,224.09,241.703,60,,
03N23W08B07S,6/3/2013,223.94,241.703,60,,
03N23W08B07S,9/10/2013,221.99,241.703,60,,
03N23W08B07S,12/3/2013,216.09,241.703,60,,
03N23W08B07S,3/5/2014,224.29,241.703,60,,
03N23W08B07S,6/2/2014,223.89,241.703,60,,
03N23W08B07S,9/9/2014,219.94,241.703,60,,
03N23W08B07S,12/5/2014,216.99,241.703,60,,
03N23W08B07S,3/4/2015,224.94,241.703,60,,
03N23W08B07S,6/22/2015,225.09,241.703,60,,
03N23W08B07S,10/26/2015,217.49,241.703,60,,
03N23W08B07S,12/14/2015,214.99,241.703,60,,
03N23W08B07S,3/1/2016,219.39,241.703,60,,
03N23W08B07S,6/14/2016,223.09,241.703,60,,
03N23W08B07S,9/1/2016,219.09,241.703,60,,
03N23W08B07S,12/5/2016,216.39,241.703,60,,
03N23W08B07S,3/6/2017,225.79,241.703,60,,
03N23W08B07S,6/1/2017,225.39,241.703,60,,
03N23W08B07S,9/5/2017,224.89,241.703,60,,
03N23W08B07S,3/15/2018,220.49,241.703,60,,
03N23W08B07S,6/11/2018,223.59,241.703,60,,
03N23W08B07S,9/18/2018,224.09,241.703,60,,
03N23W08B07S,12/3/2018,224.99,241.703,60,,
03N23W08B07S,6/11/2019,223.99,241.703,60,,
04N23W03M01S,10/4/1972,657.5999756,763.366,172,100,160
04N23W03M01S,12/6/1972,662.5,763.366,172,100,160
04N23W03M01S,2/21/1973,677.2999878,763.366,172,100,160
04N23W03M01S,4/11/1973,675.7000122,763.366,172,100,160
04N23W03M01S,6/6/1973,673,763.366,172,100,160
04N23W03M01S,7/31/1973,671.4000244,763.366,172,100,160
04N23W03M01S,9/26/1973,664.2000122,763.366,172,100,160
04N23W03M01S,12/4/1973,666.5999756,763.366,172,100,160
04N23W03M01S,1/31/1974,668.7999878,763.366,172,100,160
04N23W03M01S,4/3/1974,669,763.366,172,100,160
04N23W03M01S,6/4/1974,668.5999756,763.366,172,100,160
04N23W03M01S,8/8/1974,667.2999878,763.366,172,100,160
04N23W03M01S,9/26/1974,663.5999756,763.366,172,100,160
04N23W03M01S,12/11/1974,663.0999756,763.366,172,100,160
04N23W03M01S,1/22/1975,666.5999756,763.366,172,100,160
04N23W03M01S,3/27/1975,672.5999756,763.366,172,100,160
04N23W03M01S,6/11/1975,673.5999756,763.366,172,100,160
04N23W03M01S,7/31/1975,668,763.366,172,100,160
04N23W03M01S,9/29/1975,663.4000244,763.366,172,100,160
04N23W03M01S,12/2/1975,663.4000244,763.366,172,100,160
04N23W03M01S,1/20/1976,663.4000244,763.366,172,100,160
04N23W03M01S,3/30/1976,667.2999878,763.366,172,100,160
04N23W03M01S,5/20/1976,665.4000244,763.366,172,100,160
04N23W03M01S,7/22/1976,662.7999878,763.366,172,100,160
04N23W03M01S,10/13/1976,662.9000244,763.366,172,100,160
04N23W03M01S,12/7/1976,663.5999756,763.366,172,100,160
04N23W03M01S,1/25/1977,664.5999756,763.366,172,100,160
04N23W03M01S,3/30/1977,663.7999878,763.366,172,100,160
04N23W03M01S,5/25/1977,663.4000244,763.366,172,100,160
04N23W03M01S,7/29/1977,663.2000122,763.366,172,100,160
04N23W03M01S,9/23/1977,661.5,763.366,172,100,160
04N23W03M01S,12/8/1977,660.5,763.366,172,100,160
04N23W03M01S,2/23/1978,684.2999878,763.366,172,100,160
04N23W03M01S,4/17/1978,694.0999756,763.366,172,100,160
04N23W03M01S,5/25/1978,689.0999756,763.366,172,100,160
04N23W03M01S,7/25/1978,674.9000244,763.366,172,100,160
04N23W03M01S,9/26/1978,670.2999878,763.366,172,100,160
04N23W03M01S,11/28/1978,668,763.366,172,100,160
04N23W03M01S,2/7/1979,668.4000244,763.366,172,100,160
04N23W03M01S,4/10/1979,674,763.366,172,100,160
04N23W03M01S,6/5/1979,672.5999756,763.366,172,100,160
04N23W03M01S,8/6/1979,665.7999878,763.366,172,100,160
04N23W03M01S,10/2/1979,665.7000122,763.366,172,100,160
04N23W03M01S,11/20/1979,666.4000244,763.366,172,100,160
04N23W03M01S,2/6/1980,665.4000244,763.366,172,100,160
04N23W03M01S,3/31/1980,690.5999756,763.366,172,100,160
04N23W03M01S,6/5/1980,681.5999756,763.366,172,100,160
04N23W03M01S,7/23/1980,677.7999878,763.366,172,100,160
04N23W03M01S,9/29/1980,670.2000122,763.366,172,100,160
04N23W03M01S,12/8/1980,667.5,763.366,172,100,160
04N23W03M01S,2/4/1981,668.5999756,763.366,172,100,160
04N23W03M01S,3/24/1981,669.7999878,763.366,172,100,160
04N23W03M01S,6/2/1981,666.2999878,763.366,172,100,160
04N23W03M01S,7/22/1981,666.2999878,763.366,172,100,160
04N23W03M01S,9/22/1981,664.5999756,763.366,172,100,160
04N23W03M01S,12/3/1981,663.7999878,763.366,172,100,160
04N23W03M01S,1/25/1982,666.7000122,763.366,172,100,160
04N23W03M01S,4/6/1982,667.2999878,763.366,172,100,160
04N23W03M01S,6/3/1982,669.5999756,763.366,172,100,160
04N23W03M01S,7/28/1982,666.4000244,763.366,172,100,160
04N23W03M01S,9/28/1982,664.2000122,763.366,172,100,160
04N23W03M01S,11/29/1982,664.2000122,763.366,172,100,160
04N23W03M01S,2/9/1983,678.9000244,763.366,172,100,160
04N23W03M01S,3/31/1983,690.5999756,763.366,172,100,160
04N23W03M01S,5/31/1983,687.5,763.366,172,100,160
04N23W03M01S,8/9/1983,676.7000122,763.366,172,100,160
04N23W03M01S,9/27/1983,675.5999756,763.366,172,100,160
04N23W03M01S,11/29/1983,673.5,763.366,172,100,160
04N23W03M01S,2/14/1984,672.7000122,763.366,172,100,160
04N23W03M01S,4/9/1984,668,763.366,172,100,160
04N23W03M01S,5/30/1984,666.7000122,763.366,172,100,160
04N23W03M01S,8/9/1984,665.2000122,763.366,172,100,160
04N23W03M01S,10/8/1984,664,763.366,172,100,160
04N23W03M01S,11/27/1984,664.9000244,763.366,172,100,160
04N23W03M01S,2/7/1985,670.4000244,763.366,172,100,160
04N23W03M01S,4/2/1985,669.2999878,763.366,172,100,160
04N23W03M01S,6/12/1985,666.2000122,763.366,172,100,160
04N23W03M01S,7/29/1985,663.2999878,763.366,172,100,160
04N23W03M01S,10/8/1985,663.9000244,763.366,172,100,160
04N23W03M01S,12/11/1985,665.9000244,763.366,172,100,160
04N23W03M01S,2/11/1986,666.2999878,763.366,172,100,160
04N23W03M01S,4/3/1986,666.7999878,763.366,172,100,160
04N23W03M01S,6/12/1986,670.9000244,763.366,172,100,160
04N23W03M01S,7/25/1986,669.2000122,763.366,172,100,160
04N23W03M01S,10/7/1986,667.4000244,763.366,172,100,160
04N23W03M01S,11/25/1986,665.2999878,763.366,172,100,160
04N23W03M01S,2/11/1987,665.2999878,763.366,172,100,160
04N23W03M01S,4/7/1987,661.7999878,763.366,172,100,160
04N23W03M01S,6/12/1987,654.5,763.366,172,100,160
04N23W03M01S,8/4/1987,663.5999756,763.366,172,100,160
04N23W03M01S,9/24/1987,663.0999756,763.366,172,100,160
04N23W03M01S,12/9/1987,663.5,763.366,172,100,160
04N23W03M01S,2/4/1988,668.5999756,763.366,172,100,160
04N23W03M01S,4/6/1988,666.2999878,763.366,172,100,160
04N23W03M01S,6/6/1988,667.0999756,763.366,172,100,160
04N23W03M01S,7/27/1988,663.9000244,763.366,172,100,160
04N23W03M01S,10/14/1988,663,763.366,172,100,160
04N23W03M01S,12/6/1988,663,763.366,172,100,160
04N23W03M01S,1/31/1989,664.0999756,763.366,172,100,160
04N23W03M01S,4/10/1989,662,763.366,172,100,160
04N23W03M01S,6/7/1989,664.5,763.366,172,100,160
04N23W03M01S,7/31/1989,662.4000244,763.366,172,100,160
04N23W03M01S,10/11/1989,661.5,763.366,172,100,160
04N23W03M01S,12/5/1989,656.7999878,763.366,172,100,160
04N23W03M01S,1/30/1990,658,763.366,172,100,160
04N23W03M01S,3/26/1990,665.7999878,763.366,172,100,160
04N23W03M01S,6/5/1990,662.9000244,763.366,172,100,160
04N23W03M01S,8/2/1990,660.9000244,763.366,172,100,160
04N23W03M01S,9/26/1990,659.9000244,763.366,172,100,160
04N23W03M01S,12/5/1990,659.4000244,763.366,172,100,160
04N23W03M01S,2/2/1991,659.7999878,763.366,172,100,160
04N23W03M01S,4/8/1991,671.7999878,763.366,172,100,160
04N23W03M01S,6/7/1991,670.2999878,763.366,172,100,160
04N23W03M01S,8/7/1991,667.7999878,763.366,172,100,160
04N23W03M01S,9/26/1991,664.2999878,763.366,172,100,160
04N23W03M01S,12/3/1991,662.2999878,763.366,172,100,160
04N23W03M01S,1/28/1992,664.5,763.366,172,100,160
04N23W03M01S,4/9/1992,670,763.366,172,100,160
04N23W03M01S,5/27/1992,672.7000122,763.366,172,100,160
04N23W03M01S,7/20/1992,671.7999878,763.366,172,100,160
04N23W03M01S,9/24/1992,668.4000244,763.366,172,100,160
04N23W03M01S,12/21/1992,664.2999878,763.366,172,100,160
04N23W03M01S,2/16/1993,683.7999878,763.366,172,100,160
04N23W03M01S,3/30/1993,687.7999878,763.366,172,100,160
04N23W03M01S,6/9/1993,675.5999756,763.366,172,100,160
04N23W03M01S,8/17/1993,672.2999878,763.366,172,100,160
04N23W03M01S,12/2/1993,667.5,763.366,172,100,160
04N23W03M01S,1/25/1994,665.5999756,763.366,172,100,160
04N23W03M01S,3/21/1994,665,763.366,172,100,160
04N23W03M01S,6/6/1994,664,763.366,172,100,160
04N23W03M01S,7/21/1994,663.5,763.366,172,100,160
04N23W03M01S,9/20/1994,633.9000244,763.366,172,100,160
04N23W03M01S,12/14/1994,664.0999756,763.366,172,100,160
04N23W03M01S,4/27/1995,688.7999878,763.366,172,100,160
04N23W03M01S,4/3/1996,669.7999878,763.366,172,100,160
04N23W03M01S,6/3/1996,655.2000122,763.366,172,100,160
04N23W03M01S,8/21/1996,662.2999878,763.366,172,100,160
04N23W03M01S,12/20/1996,668.4000244,763.366,172,100,160
04N23W03M01S,2/7/1997,674.5999756,763.366,172,100,160
04N23W03M01S,4/10/1997,673.9000244,763.366,172,100,160
04N23W03M01S,6/6/1997,671.5999756,763.366,172,100,160
04N23W03M01S,7/29/1997,667.2999878,763.366,172,100,160
04N23W03M01S,10/14/1997,664,763.366,172,100,160
04N23W03M01S,12/9/1997,665.5999756,763.366,172,100,160
04N23W03M01S,2/10/1998,684.7999878,763.366,172,100,160
04N23W03M01S,4/8/1998,692.7999878,763.366,172,100,160
04N23W03M01S,6/9/1998,688,763.366,172,100,160
04N23W03M01S,8/6/1998,672.2999878,763.366,172,100,160
04N23W03M01S,10/2/1998,668,763.366,172,100,160
04N23W03M01S,12/8/1998,655.7999878,763.366,172,100,160
04N23W03M01S,2/10/1999,663.2999878,763.366,172,100,160
04N23W03M01S,4/2/1999,665.0999756,763.366,172,100,160
04N23W03M01S,6/3/1999,666.5999756,763.366,172,100,160
04N23W03M01S,7/29/1999,664.5999756,763.366,172,100,160
04N23W03M01S,10/8/1999,657.2999878,763.366,172,100,160
04N23W03M01S,12/9/1999,662.0999756,763.366,172,100,160
04N23W03M01S,2/15/2000,664.4000244,763.366,172,100,160
04N23W03M01S,4/5/2000,665.7999878,763.366,172,100,160
04N23W03M01S,6/8/2000,663.7999878,763.366,172,100,160
04N23W03M01S,8/25/2000,666.7999878,763.366,172,100,160
04N23W03M01S,10/4/2000,664.5999756,763.366,172,100,160
04N23W03M01S,12/6/2000,663.2999878,763.366,172,100,160
04N23W03M01S,2/2/2001,667.7999878,763.366,172,100,160
04N23W03M01S,4/2/2001,683.0999756,763.366,172,100,160
04N23W03M01S,5/29/2001,681.7999878,763.366,172,100,160
04N23W03M01S,8/9/2001,671.2999878,763.366,172,100,160
04N23W03M01S,10/2/2001,668.2000122,763.366,172,100,160
04N23W03M01S,12/6/2001,665.7999878,763.366,172,100,160
04N23W03M01S,2/5/2002,668.5,763.366,172,100,160
04N23W03M01S,4/3/2002,665.7999878,763.366,172,100,160
04N23W03M01S,6/3/2002,665,763.366,172,100,160
